Province_State,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
Alabama,4888,157,,4731,104.2462652,45712,641,3.211947627,974.8987875,13.11374795
Alaska,319,9,153,310,53.36688142,9895,37,2.821316614,1655.37709,11.59874608
American Samoa,0,0,,,0,3,,,5.391707554,
Arizona,4933,184,994,4749,67.77293306,52990,631,3.729981756,728.0129177,12.79140482
Arkansas,1781,39,721,1742,68.79032162,24209,291,2.189781022,935.0617046,16.33913532
California,31431,1177,,30254,80.16349466,280900,4731,3.744710636,716.4240925,15.05201871
Colorado,9730,420,,9310,171.7014484,44606,1797,4.316546763,787.144379,18.46865365
Connecticut,17962,1127,,16835,503.8023587,58213,1938,6.274356976,1632.77178,10.78944438
Delaware,2538,67,466,2471,260.6381012,14794,249,2.639873916,1519.259287,9.810874704
Diamond Princess,49,0,0,49,,,,0,,
District of Columbia,2793,96,622,2697,395.7497637,13699,313,3.437164339,1941.058365,11.2065879
Florida,26314,774,,25540,123.9320317,256079,3930,2.941400015,1206.064861,14.93501558
Georgia,18301,687,,17614,180.4940394,79933,3464,3.75389323,788.3410772,18.92792744
Grand Princess,103,0,0,103,,,,0,,
Guam,136,5,112,131,82.81119656,1079,6,3.676470588,657.0094198,4.411764706
Hawaii,580,10,410,570,40.96664326,23470,51,1.724137931,1657.736409,8.793103448
Idaho,1668,44,520,1624,103.5705127,16869,151,2.637889688,1047.440635,9.052757794
Illinois,30357,1290,,29067,258.6732924,143318,4314,4.249431762,1221.218794,14.2108904
Indiana,11211,562,,10649,171.3173942,61142,,5.012933726,934.3223725,
Iowa,2902,75,1171,2827,110.7332241,24550,198,2.584424535,936.7679712,6.822880772
Kansas,1905,93,,1812,78.12218063,18130,390,4.881889764,743.4935091,20.47244094
Kentucky,2960,146,1174,2814,86.46619946,32225,1059,4.932432432,941.3423235,35.77702703
Louisiana,23928,1296,,22632,520.4832611,141504,1748,5.416248746,3078.003318,7.305249081
Maine,867,34,393,833,73.84970775,14943,136,3.921568627,1272.821434,15.68627451
Maryland,12847,461,914,12386,216.1580998,67891,2886,3.588386394,1142.304783,22.46438857
Massachusetts,38077,1706,,36371,554.7532756,162241,3729,4.480394989,2363.729448,9.793313549
Michigan,31424,2391,3237,29033,394.4141894,109661,3403,7.608834012,1376.395571,10.82930244
Minnesota,2356,134,1160,2222,47.63015709,45716,574,5.687606112,924.2191262,24.36332767
Mississippi,4274,159,,4115,147.623347,39065,808,3.72016846,1349.299497,18.90500702
Missouri,5743,199,,5544,98.01251174,53909,875,3.465087933,920.0342148,15.2359394
Montana,433,10,243,423,50.00075059,10898,55,2.309468822,1258.448452,12.70207852
Nebraska,1474,28,,1446,96.6385012,14575,,1.899592944,955.5672693,
Nevada,3728,158,,3570,123.5788679,31598,,4.238197425,1047.436982,
New Hampshire,1390,38,513,1352,104.6570111,13424,192,2.73381295,1010.730732,13.81294964
New Jersey,85301,4362,,80939,960.3600013,170688,7494,5.113656346,1921.688232,8.785360078
New Mexico,1845,55,465,1790,110.642488,36632,258,2.98102981,2196.778115,13.98373984
New York,247815,18298,23887,229517,1469.750504,617555,55723,7.383733834,3662.618376,22.48572524
North Carolina,6601,200,,6401,66.55659605,78772,465,3.029843963,794.2427183,7.044387214
North Dakota,585,9,189,576,96.46811275,13630,51,1.538461538,2247.624576,8.717948718
Northern Mariana Islands,14,2,9,12,25.38807486,56,,14.28571429,101.5522994,
Ohio,11602,471,,11131,103.8316213,86989,2565,4.059644889,778.5044738,22.1082572
Oklahoma,2567,140,1575,2427,70.18198103,35565,541,5.453837164,972.3498852,21.07518504
Oregon,1910,74,,1836,47.6657032,39038,456,3.87434555,974.2270794,23.87434555
Pennsylvania,32902,1276,,31626,261.3863582,158854,2634,3.878183697,1261.998315,8.005592365
Puerto Rico,1213,62,,1151,41.35122015,9493,,5.111294312,323.6167625,
Rhode Island,4706,150,244,4556,444.2300594,34699,331,3.187420314,3275.465115,7.033574161
South Carolina,4377,120,2633,4257,86.84566888,40480,776,2.741603838,803.1785872,17.72903815
South Dakota,1635,7,646,1628,222.1793415,12062,74,0.428134557,1639.099216,4.525993884
Tennessee,7070,148,3344,6922,107.6934724,97098,724,2.093352192,1479.041129,10.24045262
Texas,19260,490,5334,18770,83.79537899,182710,1471,2.544132918,794.9249063,7.637590862
Utah,3069,27,679,3042,107.0874516,63555,259,0.879765396,2217.641899,8.43923102
Vermont,813,38,15,775,133.1496861,12726,53,4.67404674,2084.210216,6.519065191
Virgin Islands,53,3,48,50,49.408957,601,,5.660377358,560.2789275,
Virginia,8542,277,1267,8265,108.0277164,54733,1422,3.242800281,692.1893002,16.64715523
Washington,12255,636,,11619,162.3307167,135706,586,5.189718482,1797.572603,4.781721746
West Virginia,890,18,265,872,67.27145468,20031,72,2.02247191,1514.061246,8.08988764
Wisconsin,4346,220,,4126,83.98763878,49669,1190,5.062126093,959.8670112,27.38150023
Wyoming,313,2,227,311,62.94747003,7281,50,0.638977636,1464.282841,15.97444089
Alberta,2803,51,0,2752,63.51478061,,,1.81947913,,
Anguilla,3,0,1,2,19.99733369,,,0,,
Anhui,991,6,984,1,1.567046173,,,0.605449041,,
Aruba,97,2,49,46,90.85289324,,,2.06185567,,
Australian Capital Territory,103,3,88,12,24.05979911,,,2.912621359,,
Beijing,593,8,510,75,2.753017642,,,1.349072513,,
Bermuda,86,5,35,46,138.101585,,,5.813953488,,
"Bonaire, Sint Eustatius and Saba",5,0,0,5,19.0686854,,,0,,
British Columbia,1647,81,0,1566,32.2251369,,,4.918032787,,
British Virgin Islands,4,1,2,1,13.22882561,,,25,,
Cayman Islands,61,1,7,53,92.81801582,,,1.639344262,,
Channel Islands,488,21,73,394,286.2186875,,,4.303278689,,
Chongqing,579,6,570,3,1.866537718,,,1.03626943,,
Curacao,14,1,11,2,8.531383303,,,7.142857143,,
Falkland Islands (Malvinas),11,0,3,8,315.8196957,,,0,,
Faroe Islands,185,0,176,9,378.5940857,,,0,,
French Guiana,96,0,64,32,32.14120704,,,0,,
French Polynesia,55,0,2,53,19.57964287,,,0,,
Fujian,355,1,339,15,0.900786602,,,0.281690141,,
Gansu,139,2,137,0,0.527114145,,,1.438848921,,
Gibraltar,132,0,120,12,391.7960286,,,0,,
Greenland,11,0,11,0,19.37574861,,,0,,
Guadeloupe,148,8,73,67,36.98825623,,,5.405405405,,
Guangdong,1580,8,1490,82,1.392561255,,,0.506329114,,
Guangxi,254,2,252,0,0.515631344,,,0.787401575,,
Guizhou,147,2,145,0,0.408333333,,,1.360544218,,
Hainan,168,6,162,0,1.798715203,,,3.571428571,,
Hebei,328,6,316,6,0.434092112,,,1.829268293,,
Heilongjiang,898,13,472,413,2.380068911,,,1.44766147,,
Henan,1276,22,1254,0,1.328474753,,,1.724137931,,
Hong Kong,1025,4,602,419,13.67215741,,,0.390243902,,
Hubei,68128,4512,63507,109,115.1394288,,,6.622827619,,
Hunan,1019,4,1015,0,1.477025656,,,0.392541708,,
Inner Mongolia,193,1,104,88,0.761641673,,,0.518134715,,
Isle of Man,298,6,193,99,350.4562988,,,2.013422819,,
Jiangsu,653,0,643,10,0.811079369,,,0,,
Jiangxi,937,1,936,0,2.015920826,,,0.106723586,,
Jilin,104,1,97,6,0.384615385,,,0.961538462,,
Liaoning,146,2,142,2,0.334939206,,,1.369863014,,
Macau,45,0,20,25,6.930092309,,,0,,
Manitoba,254,5,0,249,18.43897389,,,1.968503937,,
Martinique,163,12,73,78,43.43597191,,,7.36196319,,
Mayotte,271,4,117,150,99.33544223,,,1.47601476,,
Montserrat,11,0,2,9,220.0440088,,,0,,
New Brunswick,118,0,0,118,15.1283409,,,0,,
New Caledonia,18,0,15,3,6.304927301,,,0,,
New South Wales,2926,26,1379,1521,36.04336043,,,0.888585099,,
Newfoundland and Labrador,257,3,0,254,49.29368101,,,1.167315175,,
Ningxia,75,0,75,0,1.090116279,,,0,,
Northern Territory,28,0,9,19,11.40065147,,,0,,
Northwest Territories,5,0,0,5,11.13486549,,,0,,
Nova Scotia,675,9,0,666,69.05674623,,,1.333333333,,
Ontario,11561,591,0,10970,78.58303391,,,5.112014532,,
Prince Edward Island,26,0,0,26,16.43925695,,,0,,
Qinghai,18,0,18,0,0.298507463,,,0,,
Quebec,17950,820,0,17130,210.244617,,,4.568245125,,
Queensland,1015,6,738,271,19.84165771,,,0.591133005,,
Recovered,0,0,11847,-11847,,,,,,
Recovered,0,0,70337,-70337,,,,,,
Reunion,408,0,237,171,45.57090968,,,0,,
Saint Barthelemy,6,0,5,1,60.69802731,,,0,,
Saint Pierre and Miquelon,1,0,0,1,17.25625539,,,0,,
Saskatchewan,315,4,0,311,26.65727879,,,1.26984127,,
Shaanxi,256,3,252,1,0.66252588,,,1.171875,,
Shandong,787,7,765,15,0.783318404,,,0.889453621,,
Shanghai,635,7,521,107,2.619636964,,,1.102362205,,
Shanxi,197,0,135,62,0.529854761,,,0,,
Sichuan,561,3,554,4,0.672581225,,,0.534759358,,
Sint Maarten,67,10,12,45,156.2427126,,,14.92537313,,
South Australia,435,4,331,100,24.76515798,,,0.91954023,,
St Martin,37,2,19,16,95.70863188,,,5.405405405,,
Tasmania,180,7,67,106,33.61344538,,,3.888888889,,
Tianjin,189,3,174,12,1.211538462,,,1.587301587,,
Tibet,1,0,1,0,0.029069767,,,0,,
Turks and Caicos Islands,11,1,0,10,28.4105584,,,9.090909091,,
Victoria,1319,14,1172,133,19.89471938,,,1.061410159,,
Western Australia,541,7,340,194,20.56565042,,,1.293900185,,
Xinjiang,76,3,73,0,0.305589063,,,3.947368421,,
Yukon,9,0,0,9,21.90953795,,,0,,
Yunnan,184,2,178,4,0.380952381,,,1.086956522,,
Zhejiang,1268,1,1247,20,2.210214398,,,0.078864353,,
Grand Princess,13,0,0,13,,,,0,,